Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
19,BRK,Saddiq Bey,Villanova,4,292,8804,4103,1532,538,0.408,0.352,0.842,30.2,14.1,5.2,1.8,14.6,0.079,-0.7,2.9,2020,0.8902439024390244,7.0,0.05263157894736842,-0.03684210526315789,0.429,0.4660381644706951,0.17401181281235803,0.061108587005906406,0.049999999999999996,0,0
20,MIA,Precious Achiuwa,Memphis,5,320,6396,2420,1813,313,0.484,0.304,0.606,20.0,7.6,5.7,1.0,11.8,0.089,-2.3,-0.4,2020,0.7804878048780488,6.7,0.05,-0.11499999999999999,0.42419999999999997,0.3783614759224515,0.283458411507192,0.04893683552220138,0.036875000000000005,0,1
21,PHI,Tyrese Maxey,Kentucky,5,318,10187,6202,952,1403,0.461,0.381,0.866,32.0,19.5,3.0,4.4,26.5,0.125,1.3,8.6,2020,0.775609756097561,7.4,0.047619047619047616,0.06190476190476191,0.46950000000000003,0.6088151565721017,0.09345243938352803,0.1377245508982036,0.08333333333333333,0,1
22,DEN,Zeke Nnaji,Arizona,5,251,3007,1053,566,100,0.509,0.362,0.653,12.0,4.2,2.3,0.4,6.7,0.107,-2.6,-0.4,2020,0.6121951219512195,2.6999999999999997,0.045454545454545456,-0.1181818181818182,0.4646,0.3501829065513801,0.18822746923844363,0.03325573661456601,0.026693227091633468,0,1
25,OKC,Immanuel Quickley,Kentucky,5,324,8292,4542,1097,1203,0.421,0.375,0.858,25.6,14.0,3.4,3.7,21.3,0.124,1.2,6.7,2020,0.7902439024390244,7.1,0.04,0.048,0.44630000000000003,0.5477568740955138,0.1322961890979257,0.1450795947901592,0.06574074074074074,0,1
26,BOS,Payton Pritchard,Oregon,5,347,7008,3153,952,883,0.454,0.399,0.856,20.2,9.1,2.7,2.5,20.9,0.143,1.2,5.8,2020,0.8463414634146341,5.2,0.038461538461538464,0.046153846153846156,0.47220000000000006,0.4499143835616438,0.1358447488584475,0.1259988584474886,0.06023054755043227,0,1
28,LAL,Jaden McDaniels,Washington,5,366,10449,3784,1526,562,0.482,0.348,0.752,28.5,10.3,4.2,1.5,17.9,0.082,-1.8,0.5,2020,0.8926829268292683,5.7,0.03571428571428571,-0.06428571428571428,0.45539999999999997,0.36213991769547327,0.14604268351038377,0.053785051201071875,0.048907103825136605,0,1
29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,0.387,0.333,0.747,14.2,5.5,1.7,1.9,2.9,0.045,-2.6,-0.5,2020,0.5292682926829269,3.5999999999999996,0.034482758620689655,-0.0896551724137931,0.4014,0.38491547464239273,0.1222366710013004,0.13459037711313393,0.013364055299539171,0,1
30,BOS,Desmond Bane,TCU,5,313,9274,5580,1438,1179,0.472,0.41,0.883,29.6,17.8,4.6,3.8,25.5,0.132,2.4,10.4,2020,0.7634146341463415,8.399999999999999,0.03333333333333333,0.08,0.4883,0.6016821220616778,0.15505714901876214,0.127129609661419,0.08146964856230032,0,1
1,DET,Cade Cunningham,Oklahoma State,4,208,7014,4588,1121,1530,0.446,0.339,0.853,33.7,22.1,5.4,7.4,7.0,0.048,1.0,5.2,2021,0.6341463414634146,12.8,1.0,1.0,0.4439,0.6541203307670374,0.1598232107214143,0.21813515825491872,0.03365384615384615,1,0
