Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
3,HOU,Jabari Smith Jr.,Auburn,3,212,6591,2752,1584,282,.432,.340,.805,31.1,13.0,7.5,1.3,11.7,.085,-1.7,0.5,2022
4,SAC,Keegan Murray,Iowa,3,233,7580,3090,1298,336,.451,.372,.812,32.5,13.3,5.6,1.4,13.9,.088,-1.1,1.8,2022
5,DET,Jaden Ivey,Purdue,3,181,5419,2917,676,802,.429,.352,.746,29.9,16.1,3.7,4.4,1.6,.014,-2.7,-0.9,2022
6,IND,Bennedict Mathurin,Arizona,3,209,5909,3314,935,371,.446,.342,.828,28.3,15.9,4.5,1.8,6.2,.051,-3.3,-2.0,2022
7,POR,Shaedon Sharpe,Kentucky,3,184,5090,2634,720,386,.449,.330,.779,27.7,14.3,3.9,2.1,4.7,.044,-2.3,-0.4,2022
9,SAS,Jeremy Sochan,Baylor,3,184,5015,2092,1123,519,.468,.290,.725,27.3,11.4,6.1,2.8,4.2,.041,-3.0,-1.2,2022
10,WAS,Johnny Davis,Wisconsin,3,112,1278,395,175,71,.397,.273,.561,11.4,3.5,1.6,0.6,-0.4,-.013,-6.2,-1.3,2022
12,OKC,Jalen Williams,Santa Clara,3,215,6736,3901,988,924,.513,.382,.803,31.3,18.1,4.6,4.3,20.7,.148,2.2,7.2,2022
13,CHO,Jalen Duren,Memphis,3,206,5481,2371,2111,431,.653,.000,.691,26.6,11.5,10.2,2.1,18.6,.162,0.9,4.0,2022
14,CLE,Ochai Agbaji,Kansas,3,201,4589,1589,579,248,.450,.353,.734,22.8,7.9,2.9,1.2,4.5,.048,-2.7,-0.8,2022
15,CHO,Mark Williams,Duke,3,106,2507,1300,935,149,.622,.000,.753,23.7,12.3,8.8,1.4,9.7,.185,1.8,2.4,2022
16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1,2022
17,HOU,Tari Eason,LSU,3,161,3667,1661,1011,198,.466,.345,.741,22.8,10.3,6.3,1.2,8.8,.116,0.8,2.6,2022
18,CHI,Dalen Terry,Arizona,3,170,1882,591,274,200,.445,.298,.662,11.1,3.5,1.6,1.2,2.4,.061,-2.8,-0.4,2022
19,MIN,Jake LaRavia,Wake Forest,3,136,2569,942,450,237,.429,.371,.751,18.9,6.9,3.3,1.7,4.4,.083,-1.2,0.5,2022
20,SAS,Malaki Branham,Ohio State,3,188,3571,1598,380,321,.439,.336,.843,19.0,8.5,2.0,1.7,-0.3,-.004,-5.1,-2.9,2022
21,DEN,Christian Braun,Kansas,3,237,5511,2178,897,396,.528,.384,.752,23.3,9.2,3.8,1.7,13.4,.117,-0.9,1.5,2022
22,MEM,Walker Kessler,Auburn,3,196,4936,1838,1808,226,.680,.196,.537,25.2,9.4,9.2,1.2,16.6,.161,1.9,4.9,2022
23,PHI,David Roddy,Colorado State,3,168,2845,1044,488,174,.421,.302,.679,16.9,6.2,2.9,1.0,1.7,.029,-4.0,-1.4,2022
25,SAS,Blake Wesley,Notre Dame,3,156,2228,669,236,378,.409,.297,.634,14.3,4.3,1.5,2.4,-0.5,-.011,-5.7,-2.1,2022
