Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
13,NJN,Pearl Washington,Syracuse,3,194,4044,1660,370,733,0.452,0.184,0.746,20.8,8.6,1.9,3.8,1.9,0.023,-1.7,0.3,1986,0.7886178861788617,5.699999999999999,0.07692307692307693,-0.13076923076923078,0.3742,0.410484668644906,0.09149357072205737,0.18125618199802176,0.00979381443298969,1,0
14,POR,Walter Berry,St. John's,3,205,4863,2882,971,292,0.539,0.2,0.638,23.7,14.1,4.7,1.4,8.2,0.081,-1.0,1.2,1986,0.8333333333333334,6.1,0.07142857142857142,-0.07142857142857142,0.41330000000000006,0.5926382891219412,0.1996709849886901,0.06004523956405511,0.039999999999999994,1,0
15,UTA,Dell Curry,Virginia Tech,16,1083,23549,12670,2617,1909,0.457,0.402,0.843,21.7,11.7,2.4,1.8,41.5,0.085,0.9,17.1,1986,0.8254573170731707,4.2,0.06666666666666667,0.06,0.4736,0.538027092445539,0.11112998428808017,0.08106501337636418,0.03831948291782087,0,1
16,DEN,Maurice Martin,Saint Joseph's,2,69,422,204,65,49,0.378,0.211,0.598,6.1,3.0,0.9,0.7,-0.3,-0.033,-6.0,-0.4,1986,0.42073170731707316,1.6,0.0625,-0.375,0.3332,0.4834123222748815,0.15402843601895735,0.11611374407582939,-0.004347826086956522,0,0
17,SAC,Harold Pressley,Villanova,4,299,6802,2702,1339,628,0.437,0.358,0.778,22.7,9.0,4.5,2.1,10.0,0.07,0.3,4.0,1986,0.9115853658536586,6.6,0.058823529411764705,0.01764705882352941,0.4395,0.3972361070273449,0.19685386650985004,0.09232578653337253,0.033444816053511704,0,0
18,DEN,Mark Alarie,Duke,5,325,5500,2432,1120,363,0.475,0.252,0.775,16.9,7.5,3.4,1.1,8.4,0.073,-2.3,-0.5,1986,0.7926829268292683,4.5,0.05555555555555555,-0.12777777777777777,0.4158,0.4421818181818182,0.20363636363636364,0.066,0.02584615384615385,0,1
19,ATL,Billy Thompson,Louisville,6,300,6697,2566,1615,514,0.505,0.154,0.674,22.3,8.6,5.4,1.7,9.6,0.069,-1.3,1.2,1986,0.6097560975609756,7.1000000000000005,0.05263157894736842,-0.06842105263157895,0.3815,0.3831566373002837,0.24115275496490965,0.07675078393310437,0.032,0,1
20,HOU,Buck Johnson,Alabama,7,505,11849,4617,1760,856,0.488,0.113,0.738,23.5,9.1,3.5,1.7,20.8,0.084,-1.4,1.7,1986,0.8797909407665505,5.2,0.05,-0.06999999999999999,0.363,0.38965313528567813,0.14853574141277745,0.07224238332348722,0.04118811881188119,0,1
21,WSB,Anthony Jones,UNLV,3,164,1704,594,214,119,0.393,0.306,0.74,10.4,3.6,1.3,0.7,0.8,0.022,-2.8,-0.3,1986,0.6666666666666666,2.0,0.047619047619047616,-0.1333333333333333,0.3929,0.3485915492957746,0.1255868544600939,0.0698356807511737,0.004878048780487805,0,0
22,MIL,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,0.435,0.379,0.889,28.0,11.1,2.5,6.5,30.4,0.087,-0.4,6.7,1986,0.7317073170731707,9.0,0.045454545454545456,-0.018181818181818184,0.45799999999999996,0.39621180534874023,0.09089284650664126,0.23116326165941986,0.050666666666666665,0,1
25,DAL,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,0.472,0.402,0.904,29.9,15.2,2.6,6.7,71.1,0.158,3.7,31.1,1986,0.733739837398374,9.3,0.04,0.14800000000000002,0.4872000000000001,0.5096938775510204,0.08571428571428572,0.225556586270872,0.0984764542936288,0,1
26,IND,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,0.467,0.333,0.649,8.9,2.1,2.1,0.4,4.0,0.045,-5.3,-3.5,1986,0.5780487804878048,2.5,0.038461538461538464,-0.20384615384615384,0.43160000000000004,0.23909455317142184,0.24003772695119074,0.043857580759254895,0.008438818565400843,0,1
27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,0.521,0.231,0.584,31.7,7.3,13.1,1.8,89.8,0.15,0.9,21.0,1986,0.7935540069686411,14.9,0.037037037037037035,0.03333333333333333,0.4113,0.23173480356461737,0.4145081313499081,0.05548042581226811,0.09857299670691548,0,1
28,CHI,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,0.457,0.139,0.795,21.7,8.2,4.9,1.2,15.6,0.082,-2.7,-1.6,1986,0.5691056910569106,6.1000000000000005,0.03571428571428571,-0.09642857142857143,0.36360000000000003,0.3764977465098384,0.2254589425085193,0.05639221721446631,0.037142857142857144,0,1
29,CLE,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,0.461,0.336,0.81,24.5,11.0,2.2,1.5,50.3,0.085,-1.6,2.9,1986,0.8833841463414634,3.7,0.034482758620689655,-0.05517241379310345,0.4459,0.4480393880780728,0.08918586249340602,0.05936346052400211,0.04339948231233822,0,1
30,SEA,Nate McMillan,NC State,12,796,20462,4733,3222,4893,0.443,0.343,0.65,25.7,5.9,4.0,6.1,50.2,0.118,3.3,27.2,1986,0.8089430894308943,10.1,0.03333333333333333,0.10999999999999999,0.4237,0.2313068126282866,0.15746261362525657,0.23912618512364384,0.06306532663316583,0,1
1,SAS,David Robinson,United States Naval Academy,14,987,34271,20790,10497,2441,0.518,0.25,0.736,34.7,21.1,10.6,2.5,178.7,0.25,7.5,81.9,1987,0.8597560975609756,13.1,1.0,7.5,0.4326,0.6066353476700417,0.30629395115403696,0.07122640133057104,0.18105369807497465,1,1
2,PHO,Armen Gilliam,UNLV,13,929,26421,12700,6401,1088,0.489,0.0,0.776,28.4,13.7,6.9,1.2,58.1,0.106,-0.7,8.8,1987,0.8714821763602252,8.1,0.5,-0.35,0.3221,0.48067824836304457,0.24226940691116913,0.041179364899133264,0.06254036598493003,1,1
3,NJN,Dennis Hopson,Ohio State,5,334,7509,3633,939,539,0.431,0.271,0.765,22.5,10.9,2.8,1.6,7.1,0.046,-1.7,0.7,1987,0.8146341463414634,4.4,0.3333333333333333,-0.5666666666666667,0.40040000000000003,0.48381941669996004,0.1250499400719137,0.07178053003062991,0.02125748502994012,1,1
4,LAC,Reggie Williams,Georgetown,10,599,16013,7508,2393,1492,0.437,0.298,0.784,26.7,12.5,4.0,2.5,26.0,0.078,0.2,9.0,1987,0.7304878048780488,6.5,0.25,0.05,0.4161,0.46886904390182976,0.1494410791232124,0.09317429588459376,0.04340567612687813,1,1
5,SEA,Scottie Pippen,University of Central Arkansas,17,1178,41069,18940,7494,6135,0.473,0.326,0.704,34.9,16.1,6.4,5.2,125.1,0.146,4.1,63.2,1987,0.8450502152080345,11.600000000000001,0.2,0.82,0.4373,0.46117509557086855,0.18247339842703741,0.14938274611020477,0.10619694397283531,1,1
6,SAC,Kenny Smith,UNC,10,737,22213,9397,1454,4073,0.48,0.399,0.829,30.1,12.8,2.0,5.5,46.8,0.101,0.0,11.2,1987,0.8987804878048781,7.5,0.16666666666666666,0.0,0.48250000000000004,0.42304056183316074,0.06545716472336019,0.18336109485436455,0.06350067842605156,1,1
7,CLE,Kevin Johnson,California,12,735,25061,13127,2404,6711,0.493,0.305,0.841,34.1,17.9,3.3,9.1,92.8,0.178,3.9,37.3,1987,0.7469512195121951,12.399999999999999,0.14285714285714285,0.557142857142857,0.4526,0.5238019233071306,0.09592594070468058,0.2677866006943059,0.12625850340136055,1,1
8,CHI,Olden Polynice,Virginia,15,1058,24884,8265,7110,744,0.505,0.192,0.535,23.5,7.8,6.7,0.7,46.8,0.09,-2.3,-1.8,1987,0.8601626016260162,7.4,0.125,-0.2875,0.38280000000000003,0.33214113486577723,0.28572576756148527,0.029898730107699726,0.044234404536862004,1,1
9,SEA,Derrick McKey,Alabama,15,937,27229,10266,4387,2254,0.486,0.316,0.779,29.1,11.0,4.7,2.4,61.8,0.109,1.0,20.4,1987,0.7617886178861789,7.1,0.1111111111111111,0.1111111111111111,0.44730000000000003,0.37702449594182674,0.16111498769694077,0.08277938962135958,0.06595517609391675,1,1
10,CHI,Horace Grant,Clemson,17,1165,38621,12996,9443,2575,0.509,0.063,0.692,33.2,11.2,8.1,2.2,118.2,0.147,1.4,33.0,1987,0.8357245337159254,10.3,0.1,0.13999999999999999,0.3489,0.3365008674037441,0.24450428523342224,0.06667357137308719,0.10145922746781116,1,1
11,IND,Reggie Miller,UCLA,18,1389,47619,25279,4182,4141,0.471,0.395,0.888,34.3,18.2,3.0,3.0,174.4,0.176,3.5,66.1,1987,0.9410569105691057,6.0,0.09090909090909091,0.3181818181818182,0.4823,0.5308595308595309,0.08782208782208782,0.08696108696108697,0.12555795536357092,1,1
12,WSB,Muggsy Bogues,Wake Forest,14,889,25429,6858,2318,6726,0.458,0.278,0.827,28.6,7.7,2.6,7.6,54.0,0.102,0.8,17.9,1987,0.774390243902439,10.2,0.08333333333333333,0.06666666666666667,0.42290000000000005,0.26969208384128357,0.0911557670376342,0.26450116009280744,0.06074240719910011,1,1
13,LAC,Joe Wolf,UNC,11,592,9636,2485,1933,596,0.423,0.164,0.77,16.3,4.2,3.3,1.0,3.5,0.017,-4.8,-6.7,1987,0.656319290465632,4.3,0.07692307692307693,-0.36923076923076925,0.3541,0.2578870900788709,0.20060190950601908,0.061851390618513906,0.0059121621621621625,1,1
14,GSW,Tellis Frank,Western Kentucky,5,264,4703,1710,1022,276,0.439,0.0,0.741,17.8,6.5,3.9,1.0,4.0,0.041,-4.1,-2.5,1987,0.6439024390243903,4.9,0.07142857142857142,-0.2928571428571428,0.29359999999999997,0.363597703593451,0.21730810121199234,0.058685945141399104,0.015151515151515152,1,1
15,UTA,José Ortiz,Oregon State,2,64,391,183,73,18,0.443,0.333,0.596,6.1,2.9,1.1,0.3,0.0,0.002,-6.4,-0.4,1987,0.3902439024390244,1.4000000000000001,0.06666666666666667,-0.4266666666666667,0.4143,0.4680306905370844,0.1867007672634271,0.04603580562659847,0.0,0,0
16,PHI,Chris Welp,Washington,3,109,1173,359,265,43,0.446,0.0,0.681,10.8,3.3,2.4,0.4,1.0,0.042,-5.0,-0.9,1987,0.44308943089430897,2.8,0.0625,-0.3125,0.2911,0.30605285592497866,0.2259164535379369,0.03665814151747655,0.009174311926605505,0,0
17,POR,Ronnie Murphy,Jacksonville University,1,18,89,36,11,6,0.286,0.25,0.636,4.9,2.0,0.6,0.3,-0.2,-0.13,-11.5,-0.2,1987,0.21951219512195122,0.8999999999999999,0.058823529411764705,-0.6764705882352942,0.3066,0.4044943820224719,0.12359550561797752,0.06741573033707865,-0.011111111111111112,0,0
18,NYK,Mark Jackson,St. John's,17,1296,39121,12489,4963,10334,0.447,0.332,0.77,30.2,9.6,3.8,8.0,91.8,0.113,1.8,37.5,1987,0.9296987087517934,11.8,0.05555555555555555,0.09999999999999999,0.4333,0.3192403057181565,0.12686281025536156,0.26415480176887096,0.07083333333333333,0,1
19,LAC,Ken Norman,Illinois,10,646,18992,8717,3949,1355,0.486,0.312,0.567,29.4,13.5,6.1,2.1,27.1,0.069,-1.0,4.9,1987,0.7878048780487805,8.2,0.05263157894736842,-0.05263157894736842,0.4245,0.4589827295703454,0.20792965459140691,0.0713458298230834,0.04195046439628483,0,1
20,DAL,Jim Farmer,Alabama,5,136,1454,715,186,111,0.428,0.282,0.73,10.7,5.3,1.4,0.8,0.7,0.024,-4.3,-0.8,1987,0.33170731707317075,2.2,0.05,-0.215,0.3998,0.49174690508940855,0.1279229711141678,0.07634112792297111,0.005147058823529412,0,1
21,ATL,Dallas Comegys,DePaul,2,142,2241,856,452,95,0.457,0.0,0.682,15.8,6.0,3.2,0.7,1.1,0.024,-3.6,-0.9,1987,0.8658536585365854,3.9000000000000004,0.047619047619047616,-0.17142857142857143,0.2967,0.3819723337795627,0.20169567157518964,0.04239178937974119,0.007746478873239438,0,0
22,BOS,Reggie Lewis,Northeastern University,6,450,14676,7902,1938,1153,0.488,0.2,0.824,32.6,17.6,4.3,2.6,38.9,0.127,1.4,12.4,1987,0.9146341463414634,6.9,0.045454545454545456,0.06363636363636363,0.4064,0.5384300899427636,0.13205233033524122,0.07856364131916053,0.08644444444444443,0,1
23,SAS,Greg Anderson,Houston,10,680,14040,4953,4246,385,0.492,0.087,0.557,20.6,7.3,6.2,0.6,18.7,0.064,-3.0,-3.7,1987,0.8292682926829268,6.8,0.043478260869565216,-0.13043478260869565,0.3365,0.3527777777777778,0.3024216524216524,0.027421652421652423,0.0275,0,1
26,DAL,Steve Alford,Indiana,4,169,1641,744,144,176,0.459,0.324,0.87,9.7,4.4,0.9,1.0,3.2,0.093,-0.9,0.5,1987,0.5152439024390244,1.9,0.038461538461538464,-0.03461538461538462,0.44610000000000005,0.453382084095064,0.08775137111517367,0.10725167580743449,0.01893491124260355,0,0
27,SAS,Nate Blackwell,Temple,1,10,112,37,6,18,0.366,0.182,0.833,11.2,3.7,0.6,1.8,-0.1,-0.045,-7.2,-0.1,1987,0.12195121951219512,2.4,0.037037037037037035,-0.26666666666666666,0.3391,0.33035714285714285,0.05357142857142857,0.16071428571428573,-0.01,0,0
28,CHI,Rickie Winslow,Houston,1,7,45,7,7,2,0.231,0.0,0.5,6.4,1.0,1.0,0.3,-0.2,-0.165,-14.8,-0.1,1987,0.08536585365853659,1.3,0.03571428571428571,-0.5285714285714286,0.1655,0.15555555555555556,0.15555555555555556,0.044444444444444446,-0.028571428571428574,0,0
1,LAC,Danny Manning,Kansas,15,883,24202,12367,4615,2063,0.511,0.206,0.729,27.4,14.0,5.2,2.3,55.1,0.109,1.0,18.4,1988,0.7178861788617886,7.5,1.0,1.0,0.4108,0.5109908272043633,0.1906867201057764,0.08524088918271218,0.06240090600226501,1,1
2,IND,Rik Smits,Marist College,12,867,23100,12871,5277,1215,0.507,0.115,0.773,26.6,14.8,6.1,1.4,56.6,0.118,-0.2,10.4,1988,0.8810975609756098,7.5,0.5,-0.1,0.3768,0.5571861471861472,0.22844155844155845,0.052597402597402594,0.06528258362168397,1,1
3,PHI,Charles Smith,Pitt,9,564,16378,8107,3246,798,0.475,0.194,0.774,29.0,14.4,5.8,1.4,40.9,0.12,-0.1,8.1,1988,0.7642276422764228,7.199999999999999,0.3333333333333333,-0.03333333333333333,0.3925,0.49499328367322015,0.19819269752106483,0.048723897911832945,0.0725177304964539,1,1
4,NJN,Chris Morris,Auburn,11,747,18748,8184,3544,1182,0.441,0.306,0.739,25.1,11.0,4.7,1.6,37.4,0.096,0.9,13.7,1988,0.8281596452328159,6.300000000000001,0.25,0.225,0.4168,0.4365265628333689,0.18903349690633667,0.0630467249839983,0.0500669344042838,1,1
5,GSW,Mitch Richmond,Kansas State,14,976,34309,20497,3801,3398,0.455,0.388,0.85,35.2,21.0,3.9,3.5,79.3,0.111,1.4,29.3,1988,0.8501742160278746,7.4,0.2,0.27999999999999997,0.46770000000000006,0.5974234165962284,0.11078725698796234,0.09904106794135649,0.08125,1,1
6,LAC,Hersey Hawkins,Bradley,13,983,32034,14470,3554,2860,0.461,0.394,0.87,32.6,14.7,3.6,2.9,90.6,0.136,2.0,32.6,1988,0.9221388367729831,6.5,0.16666666666666666,0.3333333333333333,0.4751,0.45170756071673845,0.11094462133982644,0.08928013985140788,0.09216683621566632,1,1
7,PHO,Tim Perry,Temple,8,481,9436,3283,1911,436,0.485,0.318,0.648,19.6,6.8,4.0,0.9,14.6,0.074,-1.4,1.5,1988,0.7332317073170732,4.9,0.14285714285714285,-0.19999999999999998,0.43450000000000005,0.3479228486646884,0.20252225519287834,0.046206019499788045,0.03035343035343035,1,1
8,CHH,Rex Chapman,Kentucky,12,666,19542,9731,1645,1798,0.43,0.35,0.8,29.3,14.6,2.5,2.7,24.7,0.061,-1.0,5.2,1988,0.676829268292683,5.2,0.125,-0.125,0.435,0.49795312659911983,0.0841776686111964,0.09200695936956299,0.037087087087087085,1,1
9,MIA,Rony Seikaly,Syracuse,11,678,21395,9991,6424,860,0.484,0.188,0.679,31.6,14.7,9.5,1.3,37.3,0.084,-1.9,0.6,1988,0.7516629711751663,10.8,0.1111111111111111,-0.21111111111111108,0.3851,0.4669782659499883,0.30025706940874036,0.04019630754849264,0.05501474926253687,1,1
10,SAS,Willie Anderson,Georgia,9,555,15974,6771,2082,2105,0.471,0.266,0.786,28.8,12.2,3.8,3.8,27.9,0.084,0.1,8.6,1988,0.7520325203252033,7.6,0.1,0.010000000000000002,0.4205,0.423876298985852,0.13033679729560535,0.13177663703518216,0.05027027027027027,1,1
11,CHI,Will Perdue,Vanderbilt,13,792,12360,3740,3918,595,0.515,0.067,0.577,15.6,4.7,4.9,0.8,26.6,0.103,-2.1,-0.2,1988,0.7429643527204502,5.7,0.09090909090909091,-0.19090909090909092,0.34199999999999997,0.30258899676375406,0.3169902912621359,0.04813915857605178,0.03358585858585859,1,1
12,WSB,Harvey Grant,Oklahoma,11,783,20510,7781,3436,1219,0.469,0.267,0.709,26.2,9.9,4.4,1.6,36.4,0.085,-0.9,5.7,1988,0.8680709534368071,6.0,0.08333333333333333,-0.075,0.4122,0.3793759141882009,0.16752803510482692,0.059434422233057047,0.046487867177522346,1,1
13,MIL,Jeff Grayer,Iowa State,9,438,8277,3257,1294,635,0.457,0.255,0.663,18.9,7.4,3.0,1.4,9.0,0.052,-2.5,-1.1,1988,0.5934959349593496,4.4,0.07692307692307693,-0.19230769230769232,0.39680000000000004,0.3935000604083605,0.15633683701824333,0.07671861785671137,0.02054794520547945,1,1
14,PHO,Dan Majerle,Central Michigan University,14,955,30206,10925,4265,2755,0.431,0.358,0.741,31.6,11.4,4.5,2.9,78.5,0.125,1.9,29.7,1988,0.8318815331010453,7.4,0.07142857142857142,0.1357142857142857,0.4328,0.3616831093160299,0.14119711315632655,0.09120704495795537,0.08219895287958115,1,1
15,SEA,Gary Grant,Michigan,13,552,12602,4368,1283,3013,0.45,0.278,0.776,22.8,7.9,2.3,5.5,12.0,0.046,-0.8,3.7,1988,0.5178236397748592,7.8,0.06666666666666667,-0.05333333333333334,0.41380000000000006,0.34661164894461194,0.10180923662910649,0.23908903348674815,0.021739130434782608,0,1
16,HOU,Derrick Chievous,Missouri,3,154,2240,1086,364,110,0.443,0.242,0.755,14.5,7.1,2.4,0.7,2.7,0.057,-3.2,-0.7,1988,0.6260162601626016,3.0999999999999996,0.0625,-0.2,0.39380000000000004,0.48482142857142857,0.1625,0.049107142857142856,0.017532467532467535,0,0
17,UTA,Eric Leckner,Wyoming,8,449,5448,1835,1418,211,0.508,0.0,0.669,12.1,4.1,3.2,0.5,6.2,0.054,-5.3,-4.6,1988,0.6844512195121951,3.7,0.058823529411764705,-0.31176470588235294,0.3209,0.3368208516886931,0.2602790014684288,0.038729809104258446,0.013808463251670379,0,1
18,SAC,Ricky Berry,San Jose State,1,64,1406,706,197,80,0.45,0.406,0.789,22.0,11.0,3.1,1.3,2.4,0.083,-1.7,0.1,1988,0.7804878048780488,4.4,0.05555555555555555,-0.09444444444444444,0.46630000000000005,0.5021337126600285,0.14011379800853485,0.05689900426742532,0.0375,0,0
19,NYK,Rod Strickland,DePaul,17,1094,33634,14463,4084,7987,0.454,0.282,0.721,30.7,13.2,3.7,7.3,85.8,0.122,2.3,36.6,1988,0.7847919655667145,11.0,0.05263157894736842,0.12105263157894736,0.4119,0.43001129809121724,0.1214247487661295,0.23746803829458285,0.07842778793418646,0,1
20,MIA,Kevin Edwards,DePaul,11,604,15332,6596,1653,1609,0.423,0.335,0.803,25.4,10.9,2.7,2.7,12.5,0.039,-1.1,3.3,1988,0.6696230598669624,5.4,0.05,-0.05500000000000001,0.42580000000000007,0.4302113227237151,0.10781372293242891,0.10494390816592747,0.020695364238410598,0,1
21,POR,Mark Bryant,Seton Hall,15,797,13479,4313,2992,491,0.5,0.083,0.697,16.9,5.4,3.8,0.6,26.1,0.093,-3.2,-4.0,1988,0.6479674796747967,4.3999999999999995,0.047619047619047616,-0.1523809523809524,0.3529,0.3199792269456191,0.22197492395578308,0.036427034646487125,0.03274780426599749,0,1
22,CLE,Randolph Keys,Southern Miss,5,241,3318,1262,551,192,0.425,0.272,0.721,13.8,5.2,2.3,0.8,2.3,0.034,-3.9,-1.6,1988,0.5878048780487805,3.0999999999999996,0.045454545454545456,-0.17727272727272728,0.3934,0.38034960819770947,0.16606389391199516,0.05786618444846293,0.00954356846473029,0,1
23,DEN,Jerome Lane,Pitt,5,218,3215,1154,1258,322,0.441,0.063,0.379,14.7,5.3,5.8,1.5,2.3,0.034,-3.6,-1.3,1988,0.5317073170731708,7.3,0.043478260869565216,-0.1565217391304348,0.2836,0.3589424572317263,0.39129082426127526,0.10015552099533437,0.010550458715596329,0,1
24,BOS,Brian Shaw,UC Santa Barbara,14,943,21666,6547,3183,3918,0.403,0.304,0.782,23.0,6.9,3.4,4.2,23.8,0.053,-1.0,5.3,1988,0.8214285714285714,7.6,0.041666666666666664,-0.041666666666666664,0.4013,0.30217852857010985,0.14691221268346719,0.18083633342564387,0.02523860021208908,0,1
25,LAL,David Rivers,Notre Dame,3,114,1286,383,147,282,0.398,0.083,0.794,11.3,3.4,1.3,2.5,-0.3,-0.01,-4.0,-0.7,1988,0.4634146341463415,3.8,0.04,-0.16,0.31160000000000004,0.2978227060653188,0.11430793157076205,0.2192846034214619,-0.002631578947368421,0,0
27,SAS,Shelton Jones,St. John's,1,51,682,244,113,42,0.445,0.0,0.725,13.4,4.8,2.2,0.8,0.3,0.022,-3.3,-0.2,1988,0.6219512195121951,3.0,0.037037037037037035,-0.1222222222222222,0.295,0.35777126099706746,0.1656891495601173,0.06158357771260997,0.0058823529411764705,0,0
28,PHO,Andrew Lang,Arkansas,12,737,15344,4431,3511,424,0.47,0.25,0.744,20.8,6.0,4.8,0.6,28.6,0.089,-1.8,0.7,1988,0.7489837398373984,5.3999999999999995,0.03571428571428571,-0.06428571428571428,0.4094,0.2887773722627737,0.22881908237747653,0.027632950990615225,0.038805970149253737,0,1
29,SAC,Vinny Del Negro,NC State,12,771,19211,7038,1810,2484,0.475,0.359,0.84,24.9,9.1,2.3,3.2,40.6,0.101,-0.7,6.1,1988,0.7835365853658537,5.5,0.034482758620689655,-0.02413793103448276,0.4651,0.3663526104835771,0.09421685492686482,0.12930092134714485,0.05265888456549935,0,1
30,DET,Fennis Dembo,Wyoming,1,31,74,36,23,5,0.333,0.0,0.8,2.4,1.2,0.7,0.2,-0.1,-0.037,-10.8,-0.2,1988,0.3780487804878049,0.8999999999999999,0.03333333333333333,-0.36000000000000004,0.24650000000000002,0.4864864864864865,0.3108108108108108,0.06756756756756757,-0.0032258064516129032,0,0
1,SAC,Pervis Ellison,Louisville,11,474,11593,4494,3170,691,0.51,0.05,0.689,24.5,9.5,6.7,1.5,21.8,0.09,-0.5,4.4,1989,0.5254988913525499,8.2,1.0,-0.5,0.34390000000000004,0.38764771845078927,0.2734408694902096,0.05960493401190373,0.045991561181434604,1,1
2,LAC,Danny Ferry,Duke,13,917,18133,6439,2550,1185,0.446,0.393,0.84,19.8,7.0,2.8,1.3,34.8,0.092,-0.9,4.9,1989,0.8602251407129456,4.1,0.5,-0.45,0.4642,0.35509843930954615,0.14062758506590195,0.06535046600121326,0.03794983642311886,1,1
3,SAS,Sean Elliott,Arizona,12,742,24502,10544,3204,1897,0.465,0.375,0.799,33.0,14.2,4.3,2.6,55.7,0.109,0.2,13.5,1989,0.7540650406504065,6.9,0.3333333333333333,0.06666666666666667,0.4624000000000001,0.43033221777814057,0.13076483552363072,0.07742225124479635,0.07506738544474394,1,1
4,MIA,Glen Rice,Michigan,15,1000,34985,18336,4387,2097,0.456,0.4,0.846,35.0,18.3,4.4,2.1,88.7,0.122,0.8,24.9,1989,0.8130081300813008,6.5,0.25,0.2,0.4726,0.5241103329998571,0.1253965985422324,0.05993997427468915,0.0887,1,1
5,CHH,J.R. Reid,UNC,11,672,15370,5680,3381,639,0.472,0.135,0.716,22.9,8.5,5.0,1.0,22.5,0.07,-2.9,-3.7,1989,0.7450110864745011,6.0,0.2,-0.58,0.3616,0.36955107351984384,0.2199739752765127,0.041574495770982434,0.033482142857142856,1,1
6,CHI,Stacey King,Oklahoma,8,438,7406,2819,1460,387,0.478,0.235,0.707,16.9,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7,1989,0.6676829268292683,4.2,0.16666666666666666,-0.5666666666666667,0.40369999999999995,0.3806373210910073,0.19713745611666217,0.05225492843640292,0.024885844748858448,1,1
7,IND,George McCloud,Florida State,12,766,17429,6925,2342,1769,0.402,0.358,0.81,22.8,9.0,3.1,2.3,24.6,0.068,-0.8,5.3,1989,0.7784552845528455,5.4,0.14285714285714285,-0.11428571428571428,0.4252,0.3973262952550347,0.1343737449079121,0.10149750415973377,0.032114882506527415,1,1
8,DAL,Randy White,Louisiana Tech,5,281,5382,2083,1366,175,0.401,0.193,0.707,19.2,7.4,4.9,0.6,1.9,0.017,-5.0,-4.0,1989,0.6853658536585366,5.5,0.125,-0.625,0.3484,0.38703084355258266,0.2538089929394277,0.0325157933853586,0.006761565836298932,1,1
9,WSB,Tom Hammonds,Georgia Tech,12,687,10419,3617,2243,378,0.48,0.0,0.691,15.2,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7,1989,0.698170731707317,3.9,0.1111111111111111,-0.42222222222222217,0.3091,0.34715423745081103,0.2152797773298781,0.036279873308378924,0.021397379912663755,1,1
10,MIN,Pooh Richardson,UCLA,10,639,19399,7083,1807,4180,0.444,0.329,0.652,30.4,11.1,2.8,6.5,26.7,0.066,0.2,10.5,1989,0.7792682926829269,9.3,0.1,0.020000000000000004,0.41880000000000006,0.3651219135006959,0.0931491313985257,0.21547502448579825,0.04178403755868545,1,1
11,ORL,Nick Anderson,Illinois,13,800,24922,11529,4064,2087,0.446,0.356,0.667,31.2,14.4,5.1,2.6,55.3,0.106,1.9,24.7,1989,0.7504690431519699,7.699999999999999,0.09090909090909091,0.17272727272727273,0.43210000000000004,0.4626033223657812,0.16306877457667923,0.08374127277104566,0.06912499999999999,1,1
12,NJN,Mookie Blaylock,Oklahoma,13,889,31026,11962,3659,5972,0.409,0.336,0.736,34.9,13.5,4.1,6.7,71.8,0.111,3.0,39.2,1989,0.8339587242026266,10.8,0.08333333333333333,0.25,0.4125,0.3855476052343196,0.11793334622574615,0.192483723328821,0.08076490438695162,1,1
13,BOS,Michael Smith,BYU,3,141,1328,698,212,142,0.474,0.15,0.835,9.4,5.0,1.5,1.0,1.4,0.049,-3.6,-0.5,1989,0.573170731707317,2.5,0.07692307692307693,-0.27692307692307694,0.3805,0.5256024096385542,0.15963855421686746,0.10692771084337349,0.009929078014184396,1,0
14,GSW,Tim Hardaway,Texas-El Paso,13,867,30626,15373,2855,7095,0.431,0.355,0.782,35.3,17.7,3.3,8.2,85.0,0.133,3.1,39.6,1989,0.8133208255159474,11.5,0.07142857142857142,0.22142857142857142,0.4357,0.5019591197022139,0.09322144583034023,0.23166590478678248,0.09803921568627451,1,1
15,DEN,Todd Lichti,Stanford,5,237,4240,1870,505,325,0.46,0.244,0.789,17.9,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5,1989,0.5780487804878048,3.5,0.06666666666666667,-0.16666666666666666,0.40650000000000003,0.4410377358490566,0.11910377358490566,0.07665094339622641,0.02362869198312236,0,1
16,SEA,Dana Barros,Boston College,14,850,19480,8901,1609,2837,0.46,0.411,0.858,22.9,10.5,1.9,3.3,49.6,0.122,1.7,18.1,1989,0.740418118466899,5.199999999999999,0.0625,0.10625,0.48019999999999996,0.45693018480492814,0.08259753593429157,0.1456365503080082,0.05835294117647059,0,1
