Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
84,NJN,Walter Jordan,Purdue,1.0,30.0,207.0,68.0,42.0,11.0,0.387,,0.588,6.9,2.3,1.4,0.4,-0.1,-0.021,-4.6,-0.2,1978
85,PHO,Bob Miller,Cincinnati,1.0,2.0,8.0,4.0,5.0,1.0,0.667,,,4.0,2.0,2.5,0.5,0.1,0.36,-4.0,0.0,1978
86,SAS,Rich Adams,Illinois,,,,,,,,,,,,,,,,,,1978
87,PHI,Brett Vroman,UNLV,1.0,11.0,93.0,34.0,25.0,9.0,0.37,0.0,0.737,8.5,3.1,2.3,0.8,0.1,0.048,-3.6,0.0,1978
88,PHO,Wayne Smith,"University of California, Irvine",,,,,,,,,,,,,,,,,,1978
89,NJN,Cecil Rose,Houston,,,,,,,,,,,,,,,,,,1978
90,SDC,David Thompson,Florida State,,,,,,,,,,,,,,,,,,1978
91,HOU,Gary Goodner,Texas,,,,,,,,,,,,,,,,,,1978
92,IND,James Sparrow,North Carolina A&T,,,,,,,,,,,,,,,,,,1978
93,KCK,Derrick Clairborne,UMass,,,,,,,,,,,,,,,,,,1978
94,BOS,Greg Tynes,Seton Hall,,,,,,,,,,,,,,,,,,1978
95,DET,Dave Caligaris,Northeastern University,,,,,,,,,,,,,,,,,,1978
96,NOJ,Duck Williams,Notre Dame,1.0,77.0,1794.0,506.0,106.0,183.0,0.447,0.0,0.7,23.3,6.6,1.4,2.4,-0.3,-0.009,-4.0,-0.9,1978
97,CHI,Ron Anthony,Jacksonville University,,,,,,,,,,,,,,,,,,1978
98,ATL,Chris Potter,Holy Cross,,,,,,,,,,,,,,,,,,1978
99,CLE,Ken Koenigs,Kansas,,,,,,,,,,,,,,,,,,1978
100,NYK,Greg Green,Southern University and A&M College,,,,,,,,,,,,,,,,,,1978
101,GSW,Bubba Wilson,Western Carolina University,1.0,16.0,143.0,17.0,16.0,12.0,0.28,,0.5,8.9,1.1,1.0,0.8,-0.2,-0.064,-5.3,-0.2,1978
102,WSB,Roger Dickens,Towson University,,,,,,,,,,,,,,,,,,1978
103,MIL,Russ Coleman,University of the Pacific,,,,,,,,,,,,,,,,,,1978
104,LAL,Carlos Terry,Winston-Salem State,3.0,94.0,1078.0,285.0,227.0,124.0,0.434,0.0,0.672,11.5,3.0,2.4,1.3,1.5,0.066,0.1,0.5,1978
105,SEA,Ralph Drollinger,UCLA,1.0,6.0,67.0,15.0,19.0,14.0,0.5,,0.25,11.2,2.5,3.2,2.3,-0.2,-0.117,-4.1,-0.1,1978
