Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,First_Round_Pick,Long_Career
25,BOS,Tracy Jackson,Notre Dame,3.0,129.0,1797.0,694.0,243.0,132.0,0.463,0.154,0.749,13.9,5.4,1.9,1.0,2.4,0.064,-1.5,0.2,1981,0.524390243902439,2.9,0.04,-0.06,0.36800000000000005,0.3861992209237618,0.1352253756260434,0.07345575959933222,0.018604651162790697,0,1,0
27,UTA,Howard Wood,Tennessee,1.0,42.0,342.0,144.0,65.0,9.0,0.458,0.0,0.654,8.1,3.4,1.5,0.2,0.3,0.049,-3.6,-0.1,1981,0.5121951219512195,1.7,0.037037037037037035,-0.13333333333333333,0.2944,0.42105263157894735,0.19005847953216373,0.02631578947368421,0.007142857142857143,0,1,0
28,SAS,Gene Banks,Duke,6.0,468.0,13074.0,5305.0,2718.0,1335.0,0.539,0.043,0.73,27.9,11.3,5.8,2.9,31.2,0.115,0.7,8.7,1981,0.9512195121951219,8.7,0.03571428571428571,0.024999999999999998,0.3597,0.4057671714853909,0.20789352914180817,0.10211106011932079,0.06666666666666667,0,1,1
29,KCK,Eddie Johnson,Illinois,17.0,1199.0,32604.0,19202.0,4832.0,2550.0,0.472,0.335,0.84,27.2,16.0,4.0,2.1,65.6,0.097,-0.7,11.0,1981,0.8601147776183644,6.1,0.034482758620689655,-0.02413793103448276,0.454,0.5889461415777205,0.148202674518464,0.07821126242178873,0.054712260216847365,0,1,1
30,SAS,Ed Rains,University of South Alabama,2.0,83.0,929.0,287.0,124.0,62.0,0.423,0.0,0.626,11.2,3.5,1.5,0.7,0.7,0.034,-3.9,-0.5,1981,0.5060975609756098,2.2,0.03333333333333333,-0.13,0.2741,0.30893433799784714,0.13347685683530677,0.06673842841765339,0.008433734939759036,0,1,0
1,LAL,James Worthy,UNC,12.0,926.0,30001.0,16320.0,4708.0,2791.0,0.521,0.241,0.769,32.4,17.6,5.1,3.0,81.2,0.13,1.9,29.2,1982,0.9410569105691057,8.1,1.0,1.9,0.4338,0.543981867271091,0.15692810239658678,0.09303023232558914,0.0876889848812095,1,1,1
2,SDC,Terry Cummings,DePaul,18.0,1183.0,33898.0,19460.0,8630.0,2190.0,0.484,0.295,0.706,28.7,16.4,7.3,1.9,91.1,0.129,0.6,22.5,1982,0.801490514905149,9.2,0.5,0.3,0.4306,0.5740751666765,0.2545872912856216,0.06460558145023305,0.07700760777683854,1,1,1
3,UTA,Dominique Wilkins,Georgia,15.0,1074.0,38113.0,26668.0,7169.0,2677.0,0.461,0.319,0.811,35.5,24.8,6.7,2.5,117.5,0.148,3.3,50.6,1982,0.8731707317073171,9.2,0.3333333333333333,1.0999999999999999,0.43920000000000003,0.6997087607902815,0.18809854905150475,0.07023850129876945,0.10940409683426443,1,1,1
4,DAL,Bill Garnett,Wyoming,4.0,300.0,5260.0,1638.0,1298.0,393.0,0.49,0.0,0.72,17.5,5.5,4.3,1.3,10.8,0.099,-0.8,1.6,1982,0.9146341463414634,5.6,0.25,-0.2,0.317,0.31140684410646385,0.2467680608365019,0.07471482889733841,0.036000000000000004,1,1,0
5,KCK,LaSalle Thompson,Texas,15.0,985.0,21238.0,7806.0,6689.0,1139.0,0.492,0.154,0.737,21.6,7.9,6.8,1.2,35.0,0.079,-1.5,2.7,1982,0.8008130081300813,8.0,0.2,-0.30000000000000004,0.3813,0.3675487334023919,0.3149543271494491,0.05363028533760241,0.03553299492385787,1,1,1
